state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,0,0,0,0,0,0,36773.1,0,0,0,0
"Africa, regional",0,0,0,0,0,0,0,0,0,14026.7,0
Argentina,0,0,0,0,0,0,0,0,0,5013.23,0
"Bilateral, unspecified",8490270,0,0,0,160982,0,0,391069,0,47309.59,0
Bolivia,0,0,0,0,0,109205.12,0,0,162557,7241.33,0
Burkina Faso,0,0,0,0,0,457.096,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,76133.7,0,0
Chile,0,0,0,0,0,159189,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,90313.9,196437
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,152611
Costa Rica,0,0,0,0,0,0,4957.7,0,0,0,0
Cote D'Ivoire,0,0,0,0,0,0,0,0,0,0,119314
Cuba,0,16662.3,0,0,0,0,0,0,0,0,14624.3
Dominican Republic,0,0,0,15066.2,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,11920,0,76538.2,0,0,65903.2
Guatemala,0,0,0,0,0,0,0,0,40150.7,0,3748.26
Guinea-Bissau,0,0,0,0,0,0,0,0,0,44562,0
Haiti,0,0,0,0,0,0,0,0,132738,0,0
Honduras,0,0,0,35416.1,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,2083170,0,0
Mauritania,755499,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,149701,55016
Morocco,0,0,0,0,0,16697.7,0,0,0,5013.23,34594.2
Nicaragua,0,0,0,0,0,0,0,0,0,0,73010.66
"North of Sahara, regional",0,0,0,0,0,0,91843,0,62295.3,0,6748.73
Pakistan,0,0,21659.3,0,0,0,0,0,0,0,0
Palestinian Adm. Areas,0,0,0,0,0,0,0,0,0,175571,0
Panama,0,0,0,0,0,0,0,0,0,0,743744
Paraguay,29486.5,0,0,0,0,0,0,0,0,18200.8,0
Peru,0,0,39731.2,0,0,0,0,49115.6,16545.1,338675,207634.61
Senegal,0,0,0,0,0,0,210965,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,4162.13
